
Com.Code;Item.Code;Item;Unit;Group;Moisture;Feedtype;Com.Group;120;Source_nutr (Food_consumption_table_FAO);Kcal;G_prot;G_fat
c001;2805;Rice (Milled Equivalent);tonnes;Primary crops;0.14;Feed crops;Cereals;TRUE;'RICE MILLED';360;6.7;0.7
c002;2511;Wheat and products;tonnes;Primary crops;0.14;Feed crops;Cereals;TRUE;'WHEAT';334;12.2;2.3
c003;2513;Barley and products;tonnes;Primary crops;0.14;Feed crops;Cereals;TRUE;'BARLEY';332;11;1.8
c004;2514;Maize and products;tonnes;Primary crops;0.14;Feed crops;Cereals;TRUE;'MAIZE';356;9.5;4.3
c005;2515;Rye and products;tonnes;Primary crops;0.14;Feed crops;Cereals;TRUE;'RYE';319;11;1.9
c006;2516;Oats;tonnes;Primary crops;0.14;Feed crops;Cereals;TRUE;'OATS';385;13;7.5
c007;2517;Millet and products;tonnes;Primary crops;0.12;Feed crops;Cereals;TRUE;'MILLET';340;9.7;3
c008;2518;Sorghum and products;tonnes;Primary crops;0.11;Feed crops;Cereals;TRUE;'SORGHUM';343;10.1;3.3
c009;2520;Cereals. Other;tonnes;Primary crops;0.14;Feed crops;Cereals;TRUE;'CEREALS NES';340;8;1.5
c010;2531;Potatoes and products;tonnes;Primary crops;0.78;Feed crops;Roots and tubers;TRUE;'POTATOES';67;1.6;0.1
c011;2532;Cassava and products;tonnes;Primary crops;0.7;Feed crops;Roots and tubers;TRUE;'CASSAVA';109;0.9;0.2
c012;2533;Sweet potatoes;tonnes;Primary crops;0.7;Feed crops;Roots and tubers;TRUE;'SWEET POTATOES';92;0.7;0.2
c013;2534;Roots. Other;tonnes;Primary crops;0.75;Feed crops;Roots and tubers;TRUE;'ROOTS. TUBERS NES';91;1.6;0.2
c014;2535;Yams;tonnes;Primary crops;0.74;Feed crops;Roots and tubers;TRUE;'YAMS';101;1.3;0.2
c015;2536;Sugar cane;tonnes;Primary crops;0.825;Feed crops;Sugar crops;TRUE;'SUGAR CANE';30;0.2;0
c016;2537;Sugar beet;tonnes;Primary crops;0.77;Feed crops;Sugar crops;TRUE;'SUGAR BEETS';70;1.3;0.1
c017;2546;Beans;tonnes;Primary crops;0.8;Feed crops;Vegetables. fruit. nuts. pulses. spices;TRUE;'BEANS. DRY';341;22.1;1.7
c018;2547;Peas;tonnes;Primary crops;0.83;Feed crops;Vegetables. fruit. nuts. pulses. spices;TRUE;'PEAS. DRY';346;22.5;1.8
c019;2549;Pulses. Other and products;tonnes;Primary crops;0.1;Feed crops;Vegetables. fruit. nuts. pulses. spices;TRUE;'PULSES NES';340;22;2
c020;2551;Nuts and products;tonnes;Primary crops;0;Feed crops;Vegetables. fruit. nuts. pulses. spices;TRUE;'NUTS NES';262;7;25
c021;2555;Soyabeans;tonnes;Primary crops;0.1;Feed crops;Oil crops;TRUE;'SOYBEANS';335;38;18
c022;2556;Groundnuts (Shelled Eq);tonnes;Primary crops;0.06;Feed crops;Oil crops;TRUE;'GROUNDNUTS SHELLED';567;25.7;49.2
c023;2557;Sunflower seed;tonnes;Primary crops;0.07;Feed crops;Oil crops;TRUE;'SUNFLOWER SEED';308;12.3;26.8
c024;2558;Rape and Mustardseed;tonnes;Primary crops;0.12;Feed crops;Oil crops;TRUE;'RAPESEED';494;19.6;45
c025;328;Seed cotton;tonnes;Primary crops;0;Feed crops;Oil crops;TRUE;'COTTONSEED';253;17.3;17.9
c026;2560;Coconuts - Incl Copra;tonnes;Primary crops;0.4;Feed crops;Oil crops;TRUE;'COCONUTS';184;1.7;17.4
c027;2561;Sesame seed;tonnes;Primary crops;0.06;Feed crops;Oil crops;TRUE;'SESAME SEED';573;17.7;49.7
c028;254;Oil. palm fruit;tonnes;Primary crops;0;Feed crops;Oil crops;TRUE;'OIL PALM FRUIT';158;0.3;13.2
c029;2563;Olives (including preserved);tonnes;Primary crops;0;Feed crops;Oil crops;TRUE;'OLIVES';175;1.3;17.5
c030;2570;Oilcrops. Other;tonnes;Primary crops;0.1;Feed crops;Oil crops;TRUE;'OILSEEDS NES';387;14.7;31.7
c031;2601;Tomatoes and products;tonnes;Primary crops;0.94;Feed crops;Vegetables. fruit. nuts. pulses. spices;TRUE;'TOMATOES';17;0.8;0.2
c032;2602;Onions;tonnes;Primary crops;0.89;Feed crops;Vegetables. fruit. nuts. pulses. spices;TRUE;'ONIONS. DRY';31;1.1;0.2
c033;2605;Vegetables. Other;tonnes;Primary crops;0.95;Feed crops;Vegetables. fruit. nuts. pulses. spices;TRUE;'VEGETABLES NES FRESH';22;1.4;0.2
c034;2611;Oranges. Mandarines;tonnes;Primary crops;0.86;Feed crops;Vegetables. fruit. nuts. pulses. spices;TRUE;'ORANGES';34;0.7;0.1
c035;2612;Lemons. Limes and products;tonnes;Primary crops;0;Feed crops;Vegetables. fruit. nuts. pulses. spices;TRUE;'LEMONS AND LIMES';15;0.6;0.2
c036;2613;Grapefruit and products;tonnes;Primary crops;0.88;Feed crops;Vegetables. fruit. nuts. pulses. spices;TRUE;'GRAPEFRUIT AND POMELO';16;0.3;0.1
c037;2614;Citrus. Other;tonnes;Primary crops;0;Feed crops;Vegetables. fruit. nuts. pulses. spices;TRUE;'CITRUS FRUIT NES';26;0.5;0.2
c038;2615;Bananas;tonnes;Primary crops;0.75;Feed crops;Vegetables. fruit. nuts. pulses. spices;TRUE;'BANANAS';60;0.7;0.3
c039;2616;Plantains;tonnes;Primary crops;0.66;Feed crops;Vegetables. fruit. nuts. pulses. spices;TRUE;'PLANTAINS';75;0.8;0.3
c040;2617;Apples and products;tonnes;Primary crops;0.85;Feed crops;Vegetables. fruit. nuts. pulses. spices;TRUE;'APPLES';48;0.1;0.3
c041;2618;Pineapples and products;tonnes;Primary crops;0;Feed crops;Vegetables. fruit. nuts. pulses. spices;TRUE;'PINEAPPLES';26;0.2;0.2
c042;2619;Dates;tonnes;Primary crops;0.22;Feed crops;Vegetables. fruit. nuts. pulses. spices;TRUE;'DATES';156;1.5;0.4
c043;2620;Grapes and products (excl wine);tonnes;Primary crops;0.81;Feed crops;Vegetables. fruit. nuts. pulses. spices;TRUE;'GRAPES';53;0.5;0.4
c044;2625;Fruits. Other;tonnes;Primary crops;0.85;Feed crops;Vegetables. fruit. nuts. pulses. spices;TRUE;'FRUIT NES FRESH';45;0.5;0.5
c045;2630;Coffee and products;tonnes;Primary crops;0;Feed crops;Coffee. tea. cocoa;TRUE;'COFFEE ROASTED';56;8;0
c046;2633;Cocoa Beans and products;tonnes;Primary crops;0.1;Feed crops;Coffee. tea. cocoa;TRUE;'COCOA BEANS';414;4;40
c047;2635;Tea (including mate);tonnes;Primary crops;0.1;Feed crops;Coffee. tea. cocoa;TRUE;'TEA';40;10;0
c048;677;Hops;tonnes;Primary crops;0;Feed crops;Vegetables. fruit. nuts. pulses. spices;TRUE;NA ;0;0;0
c049;2640;Pepper;tonnes;Primary crops;0;Feed crops;Vegetables. fruit. nuts. pulses. spices;TRUE;'PEPPER WHITE/LONG/BLACK';276;10.7;2.7
c050;2641;Pimento;tonnes;Primary crops;0;Feed crops;Vegetables. fruit. nuts. pulses. spices;TRUE;'PIMENTO';318;12;17.3
c051;2642;Cloves;tonnes;Primary crops;0.05;Feed crops;Vegetables. fruit. nuts. pulses. spices;TRUE;'CLOVES';323;6;20.1
c052;2645;Spices. Other;tonnes;Primary crops;0;Feed crops;Vegetables. fruit. nuts. pulses. spices;TRUE;'SPICES NES';337;11.3;15.5
c053;2662;Jute;tonnes;Primary crops;0;Feed crops;Fibre crops;TRUE;NA;Na;Na;Na
c054;2663;Jute-Like Fibres;tonnes;Primary crops;0;Feed crops;Fibre crops;TRUE;NA;Na;Na;Na
c055;2664;Soft-Fibres. Other;tonnes;Primary crops;0;Feed crops;Fibre crops;TRUE;NA;Na;Na;Na
c056;2665;Sisal;tonnes;Primary crops;0;Feed crops;Fibre crops;TRUE;NA;Na;Na;Na
c057;2666;Abaca;tonnes;Primary crops;0;Feed crops;Fibre crops;TRUE;NA;Na;Na;Na
c058;2667;Hard Fibres. Other;tonnes;Primary crops;0;Feed crops;Fibre crops;TRUE;NA;Na;Na;Na
c059;2671;Tobacco;tonnes;Primary crops;0;Feed crops;Tobacco. rubber;TRUE;NA;Na;Na;Na
c060;2672;Rubber;tonnes;Primary crops;0;Feed crops;Tobacco. rubber;TRUE;NA;Na;Na;Na
c061;2000;Fodder crops;tonnes;Primary crops;0.85;Grass;Fodder crops. grazing;TRUE;NA;Na;Na;Na
c062;2001;Grazing;tonnes;Primary crops;0.8;Grass;Fodder crops. grazing;TRUE;NA;Na;Na;Na
c063;2559;Cottonseed;tonnes;Crop products;0.1;Feed crops;Fibre crops;TRUE;'COTTONSEED';253;17.3;17.9
c064;2562;Palm kernels;tonnes;Crop products;0.1;Feed crops;Oil crops;TRUE;'PALM KERNELS';514;7.3;43.4
c065;2541;Sugar non-centrifugal;tonnes;Crop products;0.01;Feed crops;Sugar. sweeteners;TRUE;'SUGAR. NONCENTRIFUGAL';351;1;0
c066;2544;Molasses;tonnes;Crop products;0.17;Feed crops;Sugar. sweeteners;TRUE;'MOLASSES';232;0;0
c067;2818;Sugar. Refined Equiv;tonnes;Crop products;0;Feed crops;Sugar. sweeteners;TRUE;'SUGAR REFINED';387;0;0
