"";"x"
"1";0
"2";0,400462582789336
"3";0
"4";0
"5";0
"6";0
"7";0
"8";0
"9";0,194871261436344
"10";0
"11";0
"12";0
"13";0
"14";0
"15";0
"16";0
"17";0
"18";0
"19";0
"20";3,85446334853667
"21";0
"22";0,000145617724746759
"23";0
"24";0
"25";0
"26";0
"27";0
"28";0
"29";0
"30";0
"31";0
"32";0
"33";8,31645307546723
"34";10,8250080493706
"35";0
"36";4,60761647411888
"37";0
"38";0
"39";0
"40";150,060677478971
"41";0,0115225902754133
"42";0
"43";53,5879496382232
"44";97,8010913349446
"45";0
"46";0,0768595853665229
"47";0
"48";0
"49";0,000902968131321454
"50";0
"51";0
"52";0,00385419248556401
"53";0
"54";0
"55";0
"56";0
"57";0
"58";0
"59";0
"60";0
"61";0
"62";0
"63";0
"64";0
"65";0
"66";0
"67";7,03814971058758
"68";0
"69";0
"70";0
"71";0,287211848993389
"72";0
"73";0
"74";0
"75";0
"76";0
"77";0
"78";0
"79";0
"80";0
"81";0
"82";0
"83";0
"84";0
"85";0
"86";0
"87";0
"88";0
"89";0
"90";0
"91";1,36124986184884
"92";13,9126852804454
"93";17,3989477688062
"94";135,623443831847
"95";0
"96";0
"97";0
"98";0
"99";0
"100";0
"101";0
"102";0
"103";0
"104";0
"105";0
"106";0
"107";0
"108";0
"109";0
"110";0
"111";186,896482099902
"112";1,17137933360627
"113";0
"114";0
"115";0
"116";0
"117";6,54643392076382
"118";0,109891001184544
"119";0
"120";0
"121";0
"122";0
"123";0
"124";0
"125";0
"126";0
"127";99,0930260075652
"128";0
"129";0
"130";0
"131";0
"132";0
"133";0
"134";0
"135";0
"136";0
"137";0
"138";0
"139";0
"140";545,014901829174
"141";0
"142";0
"143";0
"144";0
"145";0
"146";0
"147";0,0186385767542454
"148";0,0306852951526704
"149";0,00674549367741894
"150";214,479135236863
"151";0
"152";0
"153";0
"154";0
"155";0
"156";0
"157";0
"158";0
"159";0
"160";0
"161";0
"162";0
"163";152,526767296668
"164";0
"165";0,0011888874318322
"166";1,00315804745968
"167";454,326191187493
"168";0
"169";0
"170";0
"171";0
"172";0
"173";258,690034900967
"174";129,253411755084
"175";0
"176";0
"177";0
"178";0
"179";0
"180";0
"181";0
"182";1,76949883380575
"183";0
"184";0
"185";0
"186";0
"187";0
"188";0
"189";0
"190";0
"191";0
"192";0
"193";0
"194";0
"195";0
"196";0
"197";0
"198";0
"199";0
"200";0
"201";0
"202";0
"203";0
"204";0
"205";0
"206";0
"207";0
"208";0
"209";0
"210";0
"211";0
"212";0
"213";0
"214";0
"215";0
"216";0
"217";0
"218";0
"219";0
"220";0
"221";0
"222";0
"223";0
"224";0
"225";0
"226";0
"227";0
"228";0
"229";0
"230";0
"231";0
"232";0
"233";0
"234";0
"235";0
"236";0
"237";0
"238";0
"239";0
"240";0
"241";0
"242";0
"243";0
"244";0
"245";0
"246";0
"247";0
"248";0
"249";0
"250";0
"251";0
"252";0
"253";0
"254";0
"255";0
"256";0
"257";0
"258";0
"259";0
"260";0
"261";0,00438986173788978
"262";12,2461895125207
"263";0
"264";0,00292827581421019
"265";0
"266";0
"267";0
"268";0
"269";0
"270";0
"271";0
"272";0
"273";0
"274";0
"275";0
"276";0
"277";0
"278";0
"279";0
"280";0
"281";0
"282";0
"283";0
"284";0
"285";0
"286";0
"287";0
"288";0
"289";1,36289311435776
"290";0
"291";811,469709645824
"292";0
"293";271,828466220873
"294";35,8642569451439
"295";0
"296";0
"297";26,7481940272334
"298";0
"299";0
"300";27,9206292999021
"301";0
"302";0
"303";0
"304";859,29279605781
"305";0,165835458948613
"306";0
"307";0,000972227768513753
"308";0
"309";0
"310";0
"311";0
"312";27,2224767958056
"313";0
"314";0
"315";0
"316";0
"317";0
"318";0
"319";0
"320";0
"321";-7,95202620104641e-09
"322";0
"323";0
"324";0
"325";0
"326";0
"327";0,00790515012882618
"328";329,860351160973
"329";0
"330";0
"331";0
"332";0
"333";0
"334";0
"335";0
"336";0
"337";0
"338";0,479919825689737
"339";0
"340";0
"341";3,0967262872477
"342";0
"343";0
"344";0
"345";0
"346";0
"347";0
"348";0
"349";0
"350";0
"351";0,200997134613521
"352";8,16003629845052
"353";0
"354";13,498547783501
"355";0
"356";0
"357";0
"358";0
"359";0
"360";0
"361";0
"362";0
"363";0
"364";0
"365";0
"366";0
"367";0
"368";0
"369";0
"370";0
"371";0
"372";0
"373";0
"374";0
"375";0
"376";0
"377";0,453708293716652
"378";0
"379";1,64759385558145
"380";0
"381";0
"382";0
"383";0
"384";0
"385";0
"386";0
"387";0,209096493047719
"388";0
"389";0
"390";0
"391";0
"392";0
"393";3,48624191088626e-05
"394";8,77941111926358e-06
"395";0
"396";0
"397";0
"398";0
"399";0
"400";8,14449455325716
"401";0
"402";0
"403";0
"404";0
"405";0
"406";0
"407";0
"408";0
"409";0
"410";1,9963990767195
"411";0
"412";0
"413";0
"414";0
"415";0
"416";0
"417";0
"418";0
"419";0
"420";0
"421";0
"422";0
"423";0,583859224411211
"424";1,47590274688447
"425";0
"426";0
"427";5,26719467547829
"428";0
"429";0
"430";0
"431";1,40105774468332
"432";17,5580046554758
"433";0
"434";11,6292706766921
"435";0
"436";0
"437";0
"438";0
"439";0
"440";0
"441";0
"442";0
"443";0
"444";0
"445";0
"446";0
"447";0
"448";0
"449";0
"450";0
"451";0
"452";0
"453";0
"454";0
"455";0
"456";0
"457";110,089617263314
"458";0,0020337603706431
"459";218,791816854282
"460";0
"461";0,582922584196468
"462";0
"463";0
"464";0
"465";6,14315930286058
"466";0
"467";0
"468";0
"469";0
"470";0
"471";50,5170103787519
"472";0
"473";0
"474";0
"475";0
"476";0
"477";0
"478";0
"479";0
"480";0
"481";0,115323431235623
"482";0
"483";0
"484";0
"485";0
"486";0
"487";0
"488";0
"489";0
"490";0
"491";0
"492";0
"493";0
"494";0
"495";0
"496";0
"497";0
"498";0
"499";0
"500";0
"501";0
"502";0
"503";0
"504";0
"505";0
"506";0
"507";0
"508";0
"509";2,83634191616818
"510";0
"511";0
"512";0
"513";0
"514";0
"515";0
"516";0
"517";0
"518";0
"519";0
"520";0
"521";0
"522";0,295853185343383
"523";0
"524";0,00835433634179861
"525";0
"526";0
"527";0
"528";0
"529";0
"530";0
"531";0
"532";0
"533";0
"534";0
"535";0
"536";0
"537";0
"538";0
"539";0
"540";0
"541";0
"542";0
"543";0
"544";0
"545";0
"546";0
"547";0
"548";0
"549";0
"550";0
"551";0,000173564800937913
"552";0
"553";0
"554";0
"555";0
"556";0
"557";0
"558";0
"559";0
"560";0,449074996100716
"561";0
"562";0
"563";0,00133478697894481
"564";0
"565";0
"566";0
"567";0,857969995516737
"568";0
"569";0
"570";0
"571";0
"572";0
"573";0
"574";0
"575";0
"576";0
"577";0
"578";0
"579";0
"580";0
"581";0
"582";0
"583";0
"584";0
"585";0
"586";0
"587";0,00183673088630132
"588";0
"589";0
"590";0
"591";0
"592";0
"593";0
"594";0
"595";98,6086269821903
"596";0
"597";0
"598";0
"599";0
"600";0
"601";0
"602";0
"603";0
"604";0
"605";0
"606";0
"607";0
"608";0
"609";0
"610";0
"611";0
"612";0,0121637373442468
"613";0
"614";0
"615";0
"616";0
"617";0
"618";0
"619";0
"620";0
"621";0
"622";0
"623";0
"624";0
"625";0
"626";0
"627";0
"628";0
"629";0
"630";0
"631";0,0253628847493169
"632";0
"633";0
"634";0
"635";0
"636";0
"637";0,997488679469804
"638";0
"639";0
"640";0
"641";0
"642";0
"643";0
"644";0
"645";0
"646";0
"647";120,249992518517
"648";0
"649";0
"650";0
"651";0
"652";0
"653";0
"654";0
"655";0
"656";0,322409553980757
"657";0
"658";0
"659";0
"660";0
"661";0
"662";0
"663";0
"664";0
"665";0
"666";0
"667";0
"668";0
"669";0
"670";0
"671";0
"672";0
"673";0
"674";0
"675";0
"676";0
"677";0
"678";0
"679";0
"680";0
"681";1,71517760777145e-05
"682";0
"683";0,0678100532762943
"684";0
"685";0
"686";0
"687";0
"688";0
"689";0
"690";0
"691";0
"692";0
"693";0
"694";0
"695";0
"696";0
"697";0
"698";0
"699";0
"700";0
"701";0
"702";0
"703";0
"704";0
"705";0
"706";0
"707";0
"708";0
"709";0
"710";0
"711";0
"712";0
"713";0
"714";0
"715";0
"716";0
"717";0
"718";0,0383464979304451
"719";0
"720";0
"721";0
"722";0
"723";0
"724";0
"725";0
"726";0
"727";0
"728";0
"729";0
"730";0
"731";0
"732";0
"733";0
"734";0
"735";0
"736";0
"737";0
"738";0
"739";0
"740";0
"741";0
"742";0
"743";0
"744";0,516423811425542
"745";0
"746";0
"747";0
"748";0
"749";0
"750";0
"751";0
"752";0
"753";0
"754";0
"755";0
"756";0
"757";0
"758";0
"759";0
"760";0
"761";0
"762";0
"763";0,0413144597533239
"764";0
"765";0
"766";0
"767";0
"768";0,0219383018724533
"769";0
"770";0
"771";0
"772";0
"773";0
"774";0
"775";0
"776";0
"777";0
"778";0
"779";0
"780";0
"781";1,18981397715282
"782";4,46638732139717
"783";0,00191882746671135
"784";4302,41362069454
"785";0
"786";21,0142382933795
"787";6,10998041959737
"788";0
"789";0,0165073446654104
"790";0
"791";0
"792";0
"793";0
"794";0
"795";0
"796";0
"797";61,7792185469484
"798";0
"799";29,1568406623942
"800";0
"801";0,0367786796159671
"802";10059,8057536089
"803";0
"804";0,592433348426942
"805";0
"806";0
"807";0
"808";0
"809";0
"810";28,8656874623354
"811";0
"812";5441,35033721572
"813";335,582245497762
"814";365,435120211709
"815";35,6367331914951
"816";116,897130338372
"817";0
"818";0
"819";0
"820";1431,21026956567
"821";0
"822";0
"823";208,435804369625
"824";1985,00389044911
"825";0
"826";0,0596803629163003
"827";2253,85689031035
"828";0
"829";0,0581845119320002
"830";0
"831";0
"832";35,5389974592051
"833";0
"834";0
"835";0
"836";0
"837";0
"838";0
"839";0
"840";0
"841";-6,69421300287979e-06
"842";0
"843";0
"844";0
"845";0
"846";0
"847";4217,64974601802
"848";3,79336861672109
"849";13,3413935270873
"850";0,1148925514712
"851";0,970460084645882
"852";0
"853";0
"854";0
"855";0,420254095303476
"856";0
"857";0
"858";3,6814777628415
"859";0
"860";0
"861";51,3307535515991
"862";0
"863";0
"864";0
"865";0
"866";0
"867";0
"868";0
"869";0
"870";0
"871";3896,43759343938
"872";2,83337022445295
"873";15,049154546815
"874";0,777404455494364
"875";0
"876";0
"877";0
"878";0
"879";0
"880";0
"881";0
"882";0
"883";0
"884";0
"885";0
"886";0
"887";0
"888";0
"889";0
"890";0
"891";0,724125542667411
"892";204,757196201559
"893";517,497588028193
"894";0
"895";7087,6481714355
"896";1,02434569137261
"897";0
"898";644,610252278712
"899";191,146638990918
"900";1,42552850412956
"901";28,4629836176481
"902";0
"903";0
"904";13,277265285721
"905";4924,16656496523
"906";0
"907";4147,34885254912
"908";0
"909";0
"910";0
"911";1500,16705645544
"912";2,29229408767255
"913";109,310923137095
"914";999,964200662378
"915";347,954548557453
"916";2,95289953012779
"917";0,376698872180508
"918";0
"919";0,0324213137534974
"920";4,08426914401984
"921";0
"922";0
"923";0
"924";0
"925";0
"926";0
"927";5,68356263998288
"928";6,15604281686432
"929";9,70220643062128
"930";6327,89671463819
"931";8,84436045320349
"932";96,2008055573493
"933";0
"934";851,74867745244
"935";0
"936";0,0507690362382059
"937";0
"938";0
"939";0
"940";4,46517091055006
"941";0,0768274801557382
"942";1933,23285231369
"943";94,727082264208
"944";30,0517108394932
"945";11,8289898807891
"946";0
"947";0
"948";100,051671625108
"949";0
"950";329,776062477598
"951";2,96159522127486
"952";0,0658594420005376
"953";556,741901868949
"954";773,94235725968
"955";1,83244633280311
"956";0,0699760612473747
"957";0,310436720121101
