"";"x"
"1";0
"2";0,79716160210927
"3";0
"4";0
"5";0
"6";0
"7";0
"8";0
"9";0,38791111491321
"10";0
"11";0
"12";0
"13";0
"14";0
"15";0
"16";0
"17";0
"18";0
"19";0
"20";7,7052841044945
"21";0
"22";0,00151258546225224
"23";0
"24";0
"25";0
"26";0
"27";0
"28";0
"29";0
"30";0
"31";0
"32";0
"33";23,9444207848606
"34";23,107650352135
"35";0
"36";9,83566847816898
"37";0
"38";0
"39";0
"40";320,327675592799
"41";0,0245967472713636
"42";0
"43";114,39174897328
"44";208,771523496869
"45";0
"46";0
"47";0
"48";0
"49";0,00194159285302039
"50";0
"51";0
"52";0,00828741605254671
"53";0
"54";0
"55";0
"56";0
"57";0
"58";0
"59";0
"60";0
"61";0
"62";0
"63";0
"64";0
"65";0
"66";0
"67";3,78038211878788
"68";0
"69";0
"70";0
"71";0,356192601517685
"72";0
"73";0
"74";0
"75";0
"76";0
"77";0
"78";0
"79";0
"80";0
"81";0
"82";0
"83";0
"84";0
"85";0
"86";0
"87";0
"88";0
"89";0
"90";0
"91";0,760146673983888
"92";7,76909643108695
"93";9,7158887996956
"94";75,734597021389
"95";0
"96";0
"97";0
"98";0
"99";0
"100";0
"101";0
"102";0
"103";0
"104";0
"105";0
"106";0
"107";0
"108";0
"109";0
"110";0
"111";89,0611934649576
"112";0,558193713852552
"113";0
"114";0
"115";0
"116";0
"117";0,562721277515795
"118";0,1097915106149
"119";0
"120";0
"121";0
"122";0
"123";0
"124";0
"125";0
"126";0
"127";166,852678314483
"128";0
"129";0
"130";0
"131";0
"132";0
"133";0
"134";0
"135";0
"136";0
"137";0
"138";0
"139";0
"140";500,189834177394
"141";0
"142";0
"143";0
"144";0
"145";0
"146";0
"147";0,769991716220938
"148";1,26766240721861
"149";0,278667965028353
"150";490,606589578613
"151";0
"152";0
"153";0
"154";0
"155";0
"156";0
"157";0
"158";0
"159";0
"160";0
"161";0
"162";0
"163";530,900537376029
"164";0
"165";0,0030680978062062
"166";2,58879598075457
"167";1172,45514844192
"168";0
"169";0
"170";0
"171";0
"172";0
"173";667,587449770867
"174";333,557322930531
"175";0
"176";0
"177";0
"178";0
"179";0
"180";0
"181";0
"182";4,3537111676987
"183";0
"184";0
"185";0
"186";0
"187";0
"188";0
"189";0
"190";0
"191";0
"192";0
"193";0
"194";0
"195";0
"196";0
"197";0
"198";0
"199";0
"200";0
"201";0
"202";0
"203";0
"204";0
"205";0
"206";0
"207";0
"208";0
"209";0
"210";0
"211";0
"212";0
"213";0
"214";0
"215";0
"216";0
"217";0
"218";0
"219";0
"220";0
"221";0
"222";0
"223";0
"224";0
"225";0
"226";0
"227";0
"228";0
"229";0
"230";0
"231";0
"232";0
"233";0
"234";0
"235";0
"236";0
"237";0
"238";0
"239";0
"240";0
"241";0
"242";0
"243";0
"244";0
"245";0
"246";0
"247";0
"248";0
"249";0
"250";0
"251";0
"252";0
"253";0
"254";0
"255";0
"256";0
"257";0
"258";0
"259";0
"260";0
"261";0,00873846737739318
"262";24,3772888431632
"263";0
"264";0,00582903157416819
"265";0
"266";0
"267";0
"268";0
"269";0
"270";0
"271";0
"272";0
"273";0
"274";0
"275";0
"276";0
"277";0
"278";0
"279";0
"280";0
"281";0
"282";0
"283";0
"284";0
"285";0
"286";0
"287";0
"288";0
"289";2,93053922845752
"290";0
"291";2336,35325150749
"292";0
"293";782,638357654675
"294";76,5577915367644
"295";0
"296";0
"297";57,0981483078839
"298";0
"299";0
"300";59,6008923522235
"301";0
"302";0
"303";0
"304";1834,29309135709
"305";0
"306";0
"307";0
"308";0
"309";0
"310";0
"311";0
"312";58,5346974840114
"313";0
"314";0
"315";0
"316";0
"317";0
"318";0
"319";0
"320";0
"321";0
"322";0
"323";0
"324";0
"325";0
"326";0
"327";0,00424607168392462
"328";177,176988937331
"329";0
"330";0
"331";0
"332";0
"333";0
"334";0
"335";0
"336";0
"337";0
"338";0,59518397953925
"339";0
"340";0
"341";3,84047871358697
"342";0
"343";0
"344";0
"345";0
"346";0
"347";0
"348";0
"349";0
"350";0
"351";0,1122404546284
"352";4,55671264072484
"353";0
"354";7,537834520888
"355";0
"356";0
"357";0
"358";0
"359";0
"360";0
"361";0
"362";0
"363";0
"364";0
"365";0
"366";0
"367";0
"368";0
"369";0
"370";0
"371";0
"372";0
"373";0
"374";0
"375";0
"376";0
"377";0,0390000592307143
"378";0
"379";0
"380";0
"381";0
"382";0
"383";0
"384";0
"385";0
"386";0
"387";0,352076339746798
"388";0
"389";0
"390";0
"391";0
"392";0
"393";5,92058691485847e-05
"394";1,49098278069959e-05
"395";0
"396";0
"397";0
"398";0
"399";0
"400";6,36987937779822
"401";0
"402";0
"403";0
"404";0
"405";0
"406";0
"407";0
"408";0
"409";0
"410";4,30340987262507
"411";0
"412";0
"413";0
"414";0
"415";0
"416";0
"417";0
"418";0
"419";0
"420";0
"421";0
"422";0
"423";2,14740239513749
"424";4,02461547896482
"425";0
"426";0
"427";14,363028501118
"428";0
"429";0
"430";0
"431";3,82052184491983
"432";47,8786407085166
"433";0
"434";31,7116712921871
"435";0
"436";0
"437";0
"438";0
"439";0
"440";0
"441";0
"442";0
"443";0
"444";0
"445";0
"446";0
"447";0
"448";0
"449";0
"450";0
"451";0
"452";0
"453";0
"454";0
"455";0
"456";0
"457";51,04215211621
"458";0,000942936389482419
"459";277,533484445382
"460";0
"461";0,739426813279791
"462";0
"463";0
"464";0
"465";7,86961074714157
"466";0
"467";0
"468";0
"469";0
"470";0
"471";64,079919032633
"472";0
"473";0
"474";0
"475";0
"476";0
"477";0
"478";0
"479";0
"480";0
"481";0,0658686675600972
"482";0
"483";0
"484";0
"485";0
"486";0
"487";0
"488";0
"489";0
"490";0
"491";0
"492";0
"493";0
"494";0
"495";0
"496";0
"497";0
"498";0
"499";0
"500";0
"501";0
"502";0
"503";0
"504";0
"505";0
"506";0
"507";0
"508";0
"509";0
"510";0
"511";0
"512";0
"513";0
"514";0
"515";0
"516";0
"517";0
"518";0
"519";0
"520";0
"521";0
"522";0,423962900107218
"523";0
"524";0,0119719132300183
"525";0
"526";0
"527";0
"528";0
"529";0
"530";0
"531";0
"532";0
"533";0
"534";0
"535";0
"536";0
"537";0
"538";0
"539";0
"540";0
"541";0
"542";0
"543";0
"544";0
"545";0
"546";0
"547";0
"548";0
"549";0
"550";0
"551";0,000645615811302097
"552";0
"553";0
"554";0
"555";0
"556";0
"557";0
"558";0
"559";0
"560";1,23849068085922
"561";0
"562";0
"563";0,00368116962391019
"564";0
"565";0
"566";0
"567";0
"568";0
"569";0
"570";0
"571";0
"572";0
"573";0
"574";0
"575";0
"576";0
"577";0
"578";0
"579";0
"580";0
"581";0
"582";0
"583";0
"584";0
"585";0
"586";0
"587";0,00074948214977175
"588";0
"589";0
"590";0
"591";0
"592";0
"593";0
"594";0
"595";125,035438721244
"596";0
"597";0
"598";0
"599";0
"600";0
"601";0
"602";0
"603";0
"604";0
"605";0
"606";0
"607";0
"608";0
"609";0
"610";0
"611";0
"612";0,00687677940323043
"613";0
"614";0
"615";0
"616";0
"617";0
"618";0
"619";0
"620";0
"621";0
"622";0
"623";0
"624";0
"625";0
"626";0
"627";0
"628";0
"629";0
"630";0
"631";0,0138285288474392
"632";0
"633";0
"634";0
"635";0
"636";0
"637";0,080345826356955
"638";0
"639";0
"640";0
"641";0
"642";0
"643";0
