"";"ISO";"country";"group";"com_code";"com_name";"com_group";"harvest_production";"storage_transport";"processing";"distribution";"final_consumption"
"1";"ARM";"Armenia";"Europe";"c001";"Rice (Milled Equivalent)";"Cereals";2;4;0,5;2;25
"2";"ARM";"Armenia";"Europe";"c002";"Wheat and products";"Cereals";2;4;0,5;2;25
"3";"ARM";"Armenia";"Europe";"c003";"Barley and products";"Cereals";2;4;0,5;2;25
"4";"ARM";"Armenia";"Europe";"c004";"Maize and products";"Cereals";2;4;0,5;2;25
"5";"ARM";"Armenia";"Europe";"c005";"Rye and products";"Cereals";2;4;0,5;2;25
"6";"ARM";"Armenia";"Europe";"c006";"Oats";"Cereals";2;4;0,5;2;25
"7";"ARM";"Armenia";"Europe";"c007";"Millet and products";"Cereals";2;4;0,5;2;25
"8";"ARM";"Armenia";"Europe";"c008";"Sorghum and products";"Cereals";2;4;0,5;2;25
"9";"ARM";"Armenia";"Europe";"c009";"Cereals, Other";"Cereals";2;4;0,5;2;25
"10";"ARM";"Armenia";"Europe";"c010";"Potatoes and products";"Roots and tubers";20;9;15;7;17
"11";"ARM";"Armenia";"Europe";"c011";"Cassava and products";"Roots and tubers";20;9;15;7;17
"12";"ARM";"Armenia";"Europe";"c012";"Sweet potatoes";"Roots and tubers";20;9;15;7;17
"13";"ARM";"Armenia";"Europe";"c013";"Roots, Other";"Roots and tubers";20;9;15;7;17
"14";"ARM";"Armenia";"Europe";"c014";"Yams";"Roots and tubers";20;9;15;7;17
"15";"ARM";"Armenia";"Europe";"c015";"Sugar cane";"Sugar crops";2;4;0,5;2;25
"16";"ARM";"Armenia";"Europe";"c016";"Sugar beet";"Sugar crops";20;9;15;7;17
"17";"ARM";"Armenia";"Europe";"c017";"Beans";"Vegetables, fruit, nuts, pulses, spices";10;1;5;1;4
"18";"ARM";"Armenia";"Europe";"c018";"Peas";"Vegetables, fruit, nuts, pulses, spices";10;1;5;1;4
"19";"ARM";"Armenia";"Europe";"c019";"Pulses, Other and products";"Vegetables, fruit, nuts, pulses, spices";10;1;5;1;4
"20";"ARM";"Armenia";"Europe";"c020";"Nuts and products";"Vegetables, fruit, nuts, pulses, spices";10;1;5;1;4
"21";"ARM";"Armenia";"Europe";"c021";"Soyabeans";"Oil crops";10;1;5;1;4
"22";"ARM";"Armenia";"Europe";"c022";"Groundnuts (Shelled Eq)";"Oil crops";10;1;5;1;4
"23";"ARM";"Armenia";"Europe";"c023";"Sunflower seed";"Oil crops";10;1;5;1;4
"24";"ARM";"Armenia";"Europe";"c024";"Rape and Mustardseed";"Oil crops";10;1;5;1;4
"25";"ARM";"Armenia";"Europe";"c025";"Seed cotton";"Oil crops";10;1;5;1;4
