;product;Item_code;dietgroup;SQ_g;SQ_kcal;SQ_prot;SQ_fat;DGErec_g;DGErec_kcal;DGErec_prot;DGErec_fat;kcal_data;prot_data;fat_data
1;Rice (Milled Equivalent);2805;Cereals and potatoes;5,644319616;20,31955062;0,378169414;0,039510237;12,45203883;44,82733978;0,834286602;0,087164272;3,6;0,067;0,007
2;Wheat and products;2511;Cereals and potatoes;113,3745941;378,6711443;13,83170048;2,607615665;290,5238075;970,349517;35,44390451;6,682047572;3,34;0,122;0,023
3;Barley and products;2513;Cereals and potatoes;0,411516403;1,366234459;0,045266804;0,007407295;1,059954789;3,519049899;0,116595027;0,019079186;3,32;0,11;0,018
4;Maize and products;2514;Cereals and potatoes;16,72509733;59,5413465;1,588884247;0,719179185;42,25290443;150,4203398;4,014025921;1,816874891;3,56;0,095;0,043
5;Rye and products;2515;Cereals and potatoes;12,95574271;41,32881924;1,425131698;0,246159111;33,37881232;106,4784113;3,671669355;0,634197434;3,19;0,11;0,019
6;Oats;2516;Cereals and potatoes;2,116038666;8,146748864;0,275085027;0,1587029;5,353410957;20,61063218;0,695943424;0,401505822;3,85;0,13;0,075
7;Millet and products;2517;Cereals and potatoes;0,177217882;0,602540798;0,017190135;0,005316536;0,423626162;1,440328951;0,041091738;0,012708785;3,4;0,097;0,03
8;Sorghum and products;2518;Cereals and potatoes;0;0;0;0;0;0;0;0;3,43;0,101;0,033
9;Cereals. Other;2520;Cereals and potatoes;0,914408744;3,108989728;0,073152699;0,013716131;2,356767916;8,013010914;0,188541433;0,035351519;3,4;0,08;0,015
10;Potatoes and products;2531;Cereals and potatoes;85,08175196;57,00477381;1,361308031;0,085081752;181,9726709;121,9216895;2,911562735;0,181972671;0,67;0,016;0,001
11;Cassava and products;2532;Cereals and potatoes;0;0;0;0;0;0;0;0;1,09;0,009;0,002
12;Sweet potatoes;2533;Cereals and potatoes;0;0;0;0;0;0;0;0;0,92;0,007;0,002
13;Roots. Other;2534;Cereals and potatoes;0,000409867;0,000372979;6,56E-06;8,20E-07;0,001036643;0,000943345;1,66E-05;2,07E-06;0,91;0,016;0,002
14;Yams;2535;Cereals and potatoes;0;0;0;0;0;0;0;0;1,01;0,013;0,002
17;Beans;2546;vegetables incl. legumes;0,222123035;0,75743955;0,049089191;0,003776092;0,570733615;1,946201626;0,126132129;0,009702471;3,41;0,221;0,017
18;Peas;2547;vegetables incl. legumes;0,929522768;3,216148778;0,209142623;0,01673141;2,759293965;9,547157119;0,620841142;0,049667291;3,46;0,225;0,018
19;Pulses. Other and products;2549;vegetables incl. legumes;0,320583793;1,089984895;0,070528434;0,006411676;1,012415301;3,442212025;0,222731366;0,020248306;3,4;0,22;0,02
20;Nuts and products;2551;vegetables incl. legumes;15,20088749;39,82632522;1,064062124;3,800221872;39,21291231;102,7378302;2,744903861;9,803228077;2,62;0,07;0,25
21;Soyabeans;2555;vegetables incl. legumes;2,049235059;6,864937448;0,778709323;0,368862311;5,232056423;17,52738902;1,988181441;0,941770156;3,35;0,38;0,18
22;Groundnuts (Shelled Eq);2556;vegetables incl. legumes;2,9524009;16,7401131;0,758767031;1,452581243;7,546544775;42,78890887;1,939462007;3,712900029;5,67;0,257;0,492
23;Sunflower seed;2557;vegetables incl. legumes;0;0;0;0;0;0;0;0;3,08;0,123;0,268
24;Rape and Mustardseed;2558;vegetables incl. legumes;0,669396431;3,306818369;0,1312017;0,301228394;1,701165738;8,403758744;0,333428485;0,765524582;4,94;0,196;0,45
25;Seed cotton;328;vegetables incl. legumes;0;0;0;0;0;0;0;0;2,53;0,173;0,179
26;Coconuts - Incl Copra;2560;vegetables incl. legumes;1,132831193;2,084409395;0,01925813;0,197112628;3,044564267;5,601998251;0,051757593;0,529754182;1,84;0,017;0,174
27;Sesame seed;2561;vegetables incl. legumes;0;0;0;0;0;0;0;0;5,73;0,177;0,497
28;Oil. palm fruit;254;vegetables incl. legumes;0;0;0;0;0;0;0;0;1,58;0,003;0,132
29;Olives (including preserved);2563;vegetables incl. legumes;1,860929104;3,256625932;0,024192078;0,325662593;4,761697284;8,332970247;0,061902065;0,833297025;1,75;0,013;0,175
30;Oilcrops. Other;2570;vegetables incl. legumes;0,259838241;1,005573994;0,038196221;0,082368723;0,66445797;2,571452345;0,097675322;0,210633177;3,87;0,147;0,317
31;Tomatoes and products;2601;vegetables incl. legumes;28,91930137;4,916281233;0,231354411;0,057838603;86,72898405;14,74392729;0,693831872;0,173457968;0,17;0,008;0,002
32;Onions;2602;vegetables incl. legumes;8,699477528;2,696838034;0,095694253;0,017398955;27,51122061;8,528478389;0,302623427;0,055022441;0,31;0,011;0,002
33;Vegetables. Other;2605;vegetables incl. legumes;99,61605793;21,91553274;1,394624811;0,199232116;308,4605355;67,86131781;4,318447497;0,616921071;0,22;0,014;0,002
34;Oranges. Mandarines;2611;Fruits;23,23655975;7,900430315;0,162655918;0,02323656;57,48520928;19,54497115;0,402396465;0,057485209;0,34;0,007;0,001
35;Lemons. Limes and products;2612;Fruits;2,268359455;0,340253918;0,013610157;0,004536719;5,603287349;0,840493102;0,033619724;0,011206575;0,15;0,006;0,002
36;Grapefruit and products;2613;Fruits;1,817894913;0,290863186;0,005453685;0,001817895;4,543772724;0,727003636;0,013631318;0,004543773;0,16;0,003;0,001
37;Citrus. Other;2614;Fruits;2,788160922;0,72492184;0,013940805;0,005576322;7,435344335;1,933189527;0,037176722;0,014870689;0,26;0,005;0,002
38;Bananas;2615;Fruits;15,90832389;9,544994335;0,111358267;0,047724972;40,82993578;24,49796147;0,28580955;0,122489807;0,6;0,007;0,003
39;Plantains;2616;Fruits;0,018991887;0,014243915;0,000151935;5,70E-05;0,051319407;0,038489555;0,000410555;0,000153958;0,75;0,008;0,003
40;Apples and products;2617;Fruits;27,67369003;13,28337122;0,02767369;0,08302107;70,16735366;33,68032975;0,070167354;0,210502061;0,48;0,001;0,003
41;Pineapples and products;2618;Fruits;4,540403914;1,180505018;0,009080808;0,009080808;11,57945584;3,010658517;0,023158912;0,023158912;0,26;0,002;0,002
42;Dates;2619;Fruits;0,125978018;0,196525709;0,00188967;0,000503912;0,334918459;0,522472796;0,005023777;0,001339674;1,56;0,015;0,004
43;Grapes and products (excl wine);2620;Fruits;12,21435004;6,473605524;0,06107175;0,0488574;32,03720098;16,97971652;0,160186005;0,128148804;0,53;0,005;0,004
44;Fruits. Other;2625;Fruits;37,03042604;16,66369172;0,18515213;0,18515213;92,80471946;41,76212376;0,464023597;0,464023597;0,45;0,005;0,005
48;Hops;677;vegetables incl. legumes;0;0;0;0;0;0;0;0;0;0;0
