;product;Item_code;dietgroup;SQ_g;SQ_kcal;SQ_prot;SQ_fat;DGErec_g;DGErec_kcal;DGErec_prot;DGErec_fat;kcal_data;prot_data;fat_data
1;Rice (Milled Equivalent);2805;Cereals and potatoes;8,196579555;29,5076864;0,54917083;0,057376057;12,45203883;44,82733978;0,834286602;0,087164272;3,6;0,067;0,007
2;Wheat and products;2511;Cereals and potatoes;201,2294306;672,1062981;24,54999053;4,628276903;290,5238075;970,349517;35,44390451;6,682047572;3,34;0,122;0,023
3;Barley and products;2513;Cereals and potatoes;0,735103858;2,44054481;0,080861424;0,013231869;1,059954789;3,519049899;0,116595027;0,019079186;3,32;0,11;0,018
4;Maize and products;2514;Cereals and potatoes;29,174089;103,8597568;2,771538455;1,254485827;42,25290443;150,4203398;4,014025921;1,816874891;3,56;0,095;0,043
5;Rye and products;2515;Cereals and potatoes;23,15089794;73,85136441;2,546598773;0,439867061;33,37881232;106,4784113;3,671669355;0,634197434;3,19;0,11;0,019
6;Oats;2516;Cereals and potatoes;3,69778156;14,23645901;0,480711603;0,277333617;5,353410957;20,61063218;0,695943424;0,401505822;3,85;0,13;0,075
7;Millet and products;2517;Cereals and potatoes;0,288551081;0,981073674;0,027989455;0,008656532;0,423626162;1,440328951;0,041091738;0,012708785;3,4;0,097;0,03
8;Sorghum and products;2518;Cereals and potatoes;0;0;0;0;0;0;0;0;3,43;0,101;0,033
9;Cereals. Other;2520;Cereals and potatoes;1,634374376;5,556872877;0,13074995;0,024515616;2,356767916;8,013010914;0,188541433;0,035351519;3,4;0,08;0,015
10;Potatoes and products;2531;Cereals and potatoes;139,9784318;93,78554933;2,239654909;0,139978432;181,9726709;121,9216895;2,911562735;0,181972671;0,67;0,016;0,001
11;Cassava and products;2532;Cereals and potatoes;0;0;0;0;0;0;0;0;1,09;0,009;0,002
12;Sweet potatoes;2533;Cereals and potatoes;0;0;0;0;0;0;0;0;0,92;0,007;0,002
13;Roots. Other;2534;Cereals and potatoes;0,000811256;0,000738243;1,30E-05;1,62E-06;0,001036643;0,000943345;1,66E-05;2,07E-06;0,91;0,016;0,002
14;Yams;2535;Cereals and potatoes;0;0;0;0;0;0;0;0;1,01;0,013;0,002
17;Beans;2546;vegetables incl. legumes;0,254455275;0,867692488;0,056234616;0,00432574;0,570733615;1,946201626;0,126132129;0,009702471;3,41;0,221;0,017
18;Peas;2547;vegetables incl. legumes;1,163852579;4,026929925;0,26186683;0,020949346;2,759293965;9,547157119;0,620841142;0,049667291;3,46;0,225;0,018
19;Pulses. Other and products;2549;vegetables incl. legumes;0,42057303;1,429948303;0,092526067;0,008411461;1,012415301;3,442212025;0,222731366;0,020248306;3,4;0,22;0,02
20;Nuts and products;2551;vegetables incl. legumes;17,54963859;45,9800531;1,228474701;4,387409647;39,21291231;102,7378302;2,744903861;9,803228077;2,62;0,07;0,25
21;Soyabeans;2555;vegetables incl. legumes;2,318024531;7,765382178;0,880849322;0,417244416;5,232056423;17,52738902;1,988181441;0,941770156;3,35;0,38;0,18
22;Groundnuts (Shelled Eq);2556;vegetables incl. legumes;3,347371897;18,97959866;0,860274578;1,646906973;7,546544775;42,78890887;1,939462007;3,712900029;5,67;0,257;0,492
23;Sunflower seed;2557;vegetables incl. legumes;0;0;0;0;0;0;0;0;3,08;0,123;0,268
24;Rape and Mustardseed;2558;vegetables incl. legumes;0,750339262;3,706675953;0,147066495;0,337652668;1,701165738;8,403758744;0,333428485;0,765524582;4,94;0,196;0,45
25;Seed cotton;328;vegetables incl. legumes;0;0;0;0;0;0;0;0;2,53;0,173;0,179
26;Coconuts - Incl Copra;2560;vegetables incl. legumes;1,415298697;2,604149603;0,024060078;0,246261973;3,044564267;5,601998251;0,051757593;0,529754182;1,84;0,017;0,174
27;Sesame seed;2561;vegetables incl. legumes;0;0;0;0;0;0;0;0;5,73;0,177;0,497
28;Oil. palm fruit;254;vegetables incl. legumes;0;0;0;0;0;0;0;0;1,58;0,003;0,132
29;Olives (including preserved);2563;vegetables incl. legumes;2,114404964;3,700208686;0,027487265;0,370020869;4,761697284;8,332970247;0,061902065;0,833297025;1,75;0,013;0,175
30;Oilcrops. Other;2570;vegetables incl. legumes;0,294870585;1,141149164;0,043345976;0,093473975;0,66445797;2,571452345;0,097675322;0,210633177;3,87;0,147;0,317
31;Tomatoes and products;2601;vegetables incl. legumes;44,24534416;7,521708507;0,353962753;0,088490688;86,72898405;14,74392729;0,693831872;0,173457968;0,17;0,008;0,002
32;Onions;2602;vegetables incl. legumes;13,92903035;4,31799941;0,153219334;0,027858061;27,51122061;8,528478389;0,302623427;0,055022441;0,31;0,011;0,002
33;Vegetables. Other;2605;vegetables incl. legumes;156,6536763;34,46380879;2,193151468;0,313307353;308,4605355;67,86131781;4,318447497;0,616921071;0,22;0,014;0,002
34;Oranges. Mandarines;2611;Fruits;36,03217073;12,25093805;0,252225195;0,036032171;57,48520928;19,54497115;0,402396465;0,057485209;0,34;0,007;0,001
35;Lemons. Limes and products;2612;Fruits;3,503410154;0,525511523;0,021020461;0,00700682;5,603287349;0,840493102;0,033619724;0,011206575;0,15;0,006;0,002
36;Grapefruit and products;2613;Fruits;2,871125136;0,459380022;0,008613375;0,002871125;4,543772724;0,727003636;0,013631318;0,004543773;0,16;0,003;0,001
37;Citrus. Other;2614;Fruits;4,966440598;1,291274556;0,024832203;0,009932881;7,435344335;1,933189527;0,037176722;0,014870689;0,26;0,005;0,002
38;Bananas;2615;Fruits;26,49384491;15,89630695;0,185456914;0,079481535;40,82993578;24,49796147;0,28580955;0,122489807;0,6;0,007;0,003
39;Plantains;2616;Fruits;0,034259098;0,025694324;0,000274073;0,000102777;0,051319407;0,038489555;0,000410555;0,000153958;0,75;0,008;0,003
40;Apples and products;2617;Fruits;43,10903447;20,69233654;0,043109034;0,129327103;70,16735366;33,68032975;0,070167354;0,210502061;0,48;0,001;0,003
