"";"product";"dietgroup";"SQ_g";"SQ_kcal";"SQ_prot";"SQ_fat";"DGErec_g";"DGErec_kcal";"DGErec_prot";"DGErec_fat";"kcal_data";"prot_data";"fat_data"
"1";"Rice (Milled Equivalent)";"Cereals and potatoes";7,0592545441031;25,4133163587711;0,472970054454907;0,0494147818087217;12,5336891955019;45,1212811038069;0,839757176098629;0,0877358243685135;"3.6";"0.067";"0.007"
"2";"Wheat and products";"Cereals and potatoes";164,702466512003;550,106238150091;20,0937009144644;3,78815672977608;292,428826882073;976,712281786125;35,6763168796129;6,72586301828768;"3.34";"0.122";"0.023"
"3";"Barley and products";"Cereals and potatoes";0,600904860908827;1,9950041382173;0,0660995346999709;0,0108162874963589;1,06690511238031;3,54212497310264;0,117359562361835;0,0192042920228457;"3.32";"0.11";"0.018"
"4";"Maize and products";"Cereals and potatoes";23,9538289055002;85,2756309035808;2,27561374602252;1,03001464293651;42,5299646964232;151,406674319267;4,04034664616021;1,8287884819462;"3.56";"0.095";"0.043"
"5";"Rye and products";"Cereals and potatoes";18,9229680188732;60,3642679802055;2,08152648207605;0,359536392358591;33,5976834838888;107,176610313605;3,69574518322777;0,638355986193887;"3.19";"0.11";"0.019"
"6";"Oats";"Cereals and potatoes";3,03493196129906;11,6844880510014;0,394541154968878;0,22761989709743;5,38851428217631;20,7457799863788;0,700506856682921;0,404138571163223;"3.85";"0.13";"0.075"
"7";"Millet and products";"Cereals and potatoes";0,24016026221044;0,816544891515496;0,0232955454344127;0,0072048078663132;0,426403958782074;1,44977345985905;0,0413611840018611;0,0127921187634622;"3.4";"0.097";"0.03"
"8";"Sorghum and products";"Cereals and potatoes";0;0;0;0;0;0;0;0;"3.43";"0.101";"0.033"
"9";"Cereals. Other";"Cereals and potatoes";1,33608839863662;4,54270055536451;0,10688707189093;0,0200413259795493;2,37222168737577;8,06555373707761;0,189777734990061;0,0355833253106365;"3.4";"0.08";"0.015"
"10";"Potatoes and products";"Cereals and potatoes";103,163138325648;69,1193026781843;1,65061021321037;0,103163138325648;183,16590004342;122,721153029092;2,93065440069472;0,18316590004342;"0.67";"0.016";"0.001"
"11";"Cassava and products";"Cereals and potatoes";0;0;0;0;0;0;0;0;"1.09";"0.009";"0.002"
"12";"Sweet potatoes";"Cereals and potatoes";0;0;0;0;0;0;0;0;"0.92";"0.007";"0.002"
"13";"Roots. Other";"Cereals and potatoes";0,000587689004906046;0,000534796994464502;9,40302407849673e-06;1,17537800981209e-06;0,00104344039233707;0,000949530757026734;1,66950462773931e-05;2,08688078467414e-06;"0.91";"0.016";"0.002"
"14";"Yams";"Cereals and potatoes";0;0;0;0;0;0;0;0;"1.01";"0.013";"0.002"
"17";"Beans";"vegetables incl. legumes";0,237910027789093;0,811273194760808;0,0525781161413896;0,00404447047241458;0,574476022677562;1,95896323733049;0,126959201011741;0,00976609238551856;"3.41";"0.221";"0.017"
"18";"Peas";"vegetables incl. legumes";1,1502103379346;3,97972776925372;0,258797326035285;0,0207037860828228;2,77738717581528;9,60975962832087;0,624912114558438;0,0499929691646751;"3.46";"0.225";"0.018"
"19";"Pulses. Other and products";"vegetables incl. legumes";0,422024822529734;1,4348843966011;0,0928454609565416;0,00844049645059469;1,01905389937162;3,46478325786351;0,224191857861757;0,0203810779874324;"3.4";"0.22";"0.02"
"20";"Nuts and products";"vegetables incl. legumes";16,3458832905163;42,8262142211527;1,14421183033614;4,08647082262907;39,4700387669742;103,411501569472;2,7629027136882;9,86750969174356;"2.62";"0.07";"0.25"
"21";"Soyabeans";"vegetables incl. legumes";2,18098015770393;7,30628352830816;0,828772459927493;0,392576428386707;5,26636400398871;17,6423194133622;2,00121832151571;0,947945520717969;"3.35";"0.38";"0.18"
"22";"Groundnuts (Shelled Eq)";"vegetables incl. legumes";3,14577349356289;17,8365357085016;0,808463787845662;1,54772055883294;7,59602889218507;43,0694838186894;1,95217942529156;3,73724621495506;"5.67";"0.257";"0.492"
"23";"Sunflower seed";"vegetables incl. legumes";0;0;0;0;0;0;0;0;"3.08";"0.123";"0.268"
