"";"product";"dietgroup";"SQ_g";"SQ_kcal";"SQ_prot";"SQ_fat";"DGErec_g";"DGErec_kcal";"DGErec_prot";"DGErec_fat";"kcal_data";"prot_data";"fat_data"
"1";"Rice (Milled Equivalent)";"Cereals and potatoes";7,0592545441031;25,4133163587711;0,472970054454907;0,0494147818087217;12,4520388288543;44,8273397838756;0,83428660153324;0,0871642718019802;3,6;0,067;0,007
"2";"Wheat and products";"Cereals and potatoes";164,702466512003;550,106238150091;20,0937009144644;3,78815672977608;290,523807493064;970,349517026833;35,4439045141538;6,68204757234047;3,34;0,122;0,023
"3";"Barley and products";"Cereals and potatoes";0,600904860908827;1,9950041382173;0,0660995346999709;0,0108162874963589;1,05995478895636;3,51904989933511;0,1165950267852;0,0190791862012145;3,32;0,11;0,018
"4";"Maize and products";"Cereals and potatoes";23,9538289055002;85,2756309035808;2,27561374602252;1,03001464293651;42,2529044345317;150,420339786933;4,01402592128051;1,81687489068486;3,56;0,095;0,043
"5";"Rye and products";"Cereals and potatoes";18,9229680188732;60,3642679802055;2,08152648207605;0,359536392358591;33,3788123173727;106,478411292419;3,671669354911;0,634197434030082;3,19;0,11;0,019
"6";"Oats";"Cereals and potatoes";3,03493196129906;11,6844880510014;0,394541154968878;0,22761989709743;5,35341095705289;20,6106321846536;0,695943424416876;0,401505821778967;3,85;0,13;0,075
"7";"Millet and products";"Cereals and potatoes";0,24016026221044;0,816544891515496;0,0232955454344127;0,0072048078663132;0,423626162154801;1,44032895132632;0,0410917377290157;0,012708784864644;3,4;0,097;0,03
"8";"Sorghum and products";"Cereals and potatoes";0;0;0;0;0;0;0;0;3,43;0,101;0,033
"9";"Cereals. Other";"Cereals and potatoes";1,33608839863662;4,54270055536451;0,10688707189093;0,0200413259795493;2,35676791574298;8,01301091352614;0,188541433259438;0,0353515187361447;3,4;0,08;0,015
"10";"Potatoes and products";"Cereals and potatoes";103,163138325648;69,1193026781843;1,65061021321037;0,103163138325648;181,97267092607;121,921689520467;2,91156273481713;0,181972670926071;0,67;0,016;0,001
"11";"Cassava and products";"Cereals and potatoes";0;0;0;0;0;0;0;0;1,09;0,009;0,002
"12";"Sweet potatoes";"Cereals and potatoes";0;0;0;0;0;0;0;0;0,92;0,007;0,002
"13";"Roots. Other";"Cereals and potatoes";0,000587689004906046;0,000534796994464502;9,40302407849673e-06;1,17537800981209e-06;0,00103664292917357;0,000943345065547946;1,65862868667771e-05;2,07328585834713e-06;0,91;0,016;0,002
"14";"Yams";"Cereals and potatoes";0;0;0;0;0;0;0;0;1,01;0,013;0,002
"15";"Sugar cane";"excluded";0;0;0;0;0;0;0;0;0,3;0,002;0
"16";"Sugar beet";"excluded";0;0;0;0;0;0;0;0;0,7;0,013;0,001
"17";"Beans";"vegetables incl. legumes";0,237910027789093;0,811273194760808;0,0525781161413896;0,00404447047241458;0,570733614744013;1,94620162627709;0,126132128858427;0,00970247145064822;3,41;0,221;0,017
"18";"Peas";"vegetables incl. legumes";1,1502103379346;3,97972776925372;0,258797326035285;0,0207037860828228;2,75929396497445;9,5471571188116;0,620841142119251;0,0496672913695401;3,46;0,225;0,018
"19";"Pulses. Other and products";"vegetables incl. legumes";0,422024822529734;1,4348843966011;0,0928454609565416;0,00844049645059469;1,01241530133241;3,44221202453019;0,22273136629313;0,0202483060266482;3,4;0,22;0,02
"20";"Nuts and products";"vegetables incl. legumes";16,3458832905163;42,8262142211527;1,14421183033614;4,08647082262907;39,2129123067078;102,737830243575;2,74490386146955;9,80322807667696;2,62;0,07;0,25
"21";"Soyabeans";"vegetables incl. legumes";2,18098015770393;7,30628352830816;0,828772459927493;0,392576428386707;5,23205642342579;17,5273890184764;1,9881814409018;0,941770156216641;3,35;0,38;0,18
"22";"Groundnuts (Shelled Eq)";"vegetables incl. legumes";3,14577349356289;17,8365357085016;0,808463787845662;1,54772055883294;7,54654477506375;42,7889088746114;1,93946200719138;3,71290002933136;5,67;0,257;0,492
"23";"Sunflower seed";"vegetables incl. legumes";0;0;0;0;0;0;0;0;3,08;0,123;0,268
"24";"Rape and Mustardseed";"vegetables incl. legumes";0,70913010458708;3,50310271666018;0,138989500499068;0,319108547064186;1,70116573763579;8,40375874392083;0,333428484576616;0,765524581936108;4,94;0,196;0,45
"25";"Seed cotton";"vegetables incl. legumes";0;0;0;0;0;0;0;0;2,53;0,173;0,179
"26";"Coconuts - Incl Copra";"vegetables incl. legumes";1,26912512348014;2,33519022720346;0,0215751270991624;0,220827771485545;3,04456426665791;5,60199825065056;0,0517575925331845;0,529754182398477;1,84;0,017;0,174
"27";"Sesame seed";"vegetables incl. legumes";0;0;0;0;0;0;0;0;5,73;0,177;0,497
"28";"Oil. palm fruit";"vegetables incl. legumes";0;0;0;0;0;0;0;0;1,58;0,003;0,132
"29";"Olives (including preserved)";"vegetables incl. legumes";1,98491118074022;3,47359456629539;0,0258038453496229;0,347359456629539;4,76169728387385;8,33297024677923;0,06190206469036;0,833297024677923;1,75;0,013;0,175
"30";"Oilcrops. Other";"vegetables incl. legumes";0,276978979474299;1,07190865056554;0,0407159099827219;0,0878023364933527;0,664457970235762;2,5714523448124;0,097675321624657;0,210633176564737;3,87;0,147;0,317
"31";"Tomatoes and products";"vegetables incl. legumes";36,1529345254504;6,14599886932656;0,289223476203603;0,0723058690509007;86,7289840494056;14,743927288399;0,693831872395245;0,173457968098811;0,17;0,008;0,002
"32";"Onions";"vegetables incl. legumes";11,4680388376447;3,55509203966985;0,126148427214092;0,0229360776752894;27,5112206099862;8,52847838909573;0,302623426709848;0,0550224412199724;0,31;0,011;0,002
"33";"Vegetables. Other";"vegetables incl. legumes";128,581623153165;28,2879570936962;1,80014272414431;0,257163246306329;308,460535496699;67,8613178092738;4,31844749695379;0,616921070993398;0,22;0,014;0,002
"34";"Oranges. Mandarines";"Fruits";29,1945003604173;9,92613012254187;0,204361502522921;0,0291945003604173;57,4852092764105;19,5449711539796;0,402396464934874;0,0574852092764105;0,34;0,007;0,001
"35";"Lemons. Limes and products";"Fruits";2,84569155435679;0,426853733153519;0,0170741493261407;0,00569138310871358;5,60328734928814;0,840493102393221;0,0336197240957288;0,0112065746985763;0,15;0,006;0,002
"36";"Grapefruit and products";"Fruits";2,3076053143769;0,369216850300305;0,00692281594313071;0,0023076053143769;4,54377272385755;0,727003635817208;0,0136313181715727;0,00454377272385755;0,16;0,003;0,001
"37";"Citrus. Other";"Fruits";3,77612199034994;0,981791717490985;0,0188806099517497;0,00755224398069988;7,43534433501843;1,93318952710479;0,0371767216750922;0,0148706886700369;0,26;0,005;0,002
"38";"Bananas";"Fruits";20,735935206111;12,4415611236666;0,145151546442777;0,062207805618333;40,8299357806972;24,4979614684183;0,285809550464881;0,122489807342092;0,6;0,007;0,003
"39";"Plantains";"Fruits";0,0260631293633443;0,0195473470225082;0,000208505034906754;7,81893880900329e-05;0,0513194069894535;0,0384895552420902;0,000410555255915628;0,000153958220968361;0,75;0,008;0,003
"40";"Apples and products";"Fruits";35,6352678783092;17,1049285815884;0,0356352678783092;0,106905803634928;70,1673536562033;33,6803297549776;0,0701673536562033;0,21050206096861;0,48;0,001;0,003
"41";"Pineapples and products";"Fruits";5,88075492496426;1,52899628049071;0,0117615098499285;0,0117615098499285;11,5794558355655;3,01065851724703;0,023158911671131;0,023158911671131;0,26;0,002;0,002
"42";"Dates";"Fruits";0,170092049533043;0,265343597271548;0,00255138074299565;0,000680368198132174;0,334918458714833;0,52247279559514;0,0050237768807225;0,00133967383485933;1,56;0,015;0,004
"43";"Grapes and products (excl wine)";"Fruits";16,2704474320418;8,62333713898217;0,0813522371602092;0,0650817897281673;32,0372009832332;16,9797165211136;0,160186004916166;0,128148803932933;0,53;0,005;0,004
"44";"Fruits. Other";"Fruits";47,1319048809912;21,2093571964461;0,235659524404956;0,235659524404956;92,8047194585019;41,7621237563259;0,464023597292509;0,464023597292509;0,45;0,005;0,005
"45";"Coffee and products";"excluded";0;0;0;0;0;0;0;0;0,56;0,08;0
"46";"Cocoa Beans and products";"excluded";0;0;0;0;0;0;0;0;4,14;0,04;0,4
"47";"Tea (including mate)";"excluded";0;0;0;0;0;0;0;0;0,4;0,1;0
"48";"Hops";"vegetables incl. legumes";0;0;0;0;0;0;0;0;0;0;0
"49";"Pepper";"vegetables incl. legumes";0,479344475108144;1,32299075129848;0,0512898588365715;0,0129423008279199;1,14992212614329;3,17378506815548;0,123041667497332;0,0310478974058688;2,76;0,107;0,027
"50";"Pimento";"vegetables incl. legumes";0,436527230892401;1,38815659423784;0,0523832677070882;0,0755192109443854;1,04720581446982;3,33011449001402;0,125664697736378;0,181166605903279;3,18;0,12;0,173
"51";"Cloves";"vegetables incl. legumes";0,0131746800706999;0,0425542166283607;0,000790480804241994;0,00264811069421068;0,0316053629589428;0,102085322357385;0,00189632177753657;0,00635267795474751;3,23;0,06;0,201
"52";"Spices. Other";"vegetables incl. legumes";0,987812994914986;3,3289297928635;0,111622868425393;0,153111014211823;2,36971130018415;7,98592708162059;0,267777376920809;0,367305251528544;3,37;0,113;0,155
"53";"Jute";"excluded";0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"54";"Jute-Like Fibres";"excluded";0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"55";"Soft-Fibres. Other";"excluded";0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"56";"Sisal";"excluded";0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"57";"Abaca";"excluded";0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"58";"Hard Fibres. Other";"excluded";0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"59";"Tobacco";"excluded";0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"60";"Rubber";"excluded";0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"61";"Fodder crops";"excluded";0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"62";"Grazing";"excluded";0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"63";"Cottonseed";"excluded";0;0;0;0;0;0;0;0;2,53;0,173;0,179
"64";"Palm kernels";"vegetables incl. legumes";0;0;0;0;0;0;0;0;5,14;0,073;0,434
"65";"Sugar non-centrifugal";"Alcohol, sugar and honey";0;0;0;0;0;0;0;0;3,51;0,01;0
"66";"Molasses";"Alcohol, sugar and honey";0;0;0;0;0;0;0;0;2,32;0;0
"67";"Sugar. Refined Equiv";"Alcohol, sugar and honey";67,7243677445544;262,093303171426;0;0;34,1062574701431;131,991216409454;0;0;3,87;0;0
"68";"Sweeteners. Other";"Alcohol, sugar and honey";24,4145265849195;75,6850324132506;0;0;12,2952514353133;38,1152794494713;0;0;3,1;0;0
"69";"Soyabean Oil";"Vegetable oils";13,1855539928192;116,560297296522;0;13,1855539928192;10,1497515411855;89,7238036240798;0;10,1497515411855;8,84;0;1
"70";"Groundnut Oil";"Vegetable oils";0,120842811783784;1,06825045616865;0;0,120842811783784;0,0930203248048289;0,822299671274688;0;0,0930203248048289;8,84;0;1
"71";"Sunflowerseed Oil";"Vegetable oils";8,12810325924477;71,8524328117238;0;8,12810325924477;6,25671311401574;55,3093439278991;0;6,25671311401574;8,84;0;1
"72";"Rape and Mustard Oil";"Vegetable oils";13,9604155689924;123,410073629893;0;13,9604155689924;10,7462113092963;94,9965079741792;0;10,7462113092963;8,84;0;1
"73";"Cottonseed Oil";"Vegetable oils";0;0;0;0;0;0;0;0;8,84;0;1
"74";"Palmkernel Oil";"Vegetable oils";0;0;0;0;0;0;0;0;8,84;0;1
"75";"Palm Oil";"Vegetable oils";7,23195267788154;63,9304616724728;0;7,23195267788154;5,56688955792707;49,2113036920753;0;5,56688955792707;8,84;0;1
"76";"Coconut Oil";"Vegetable oils";0,119838811992383;1,05937509801267;0;0,119838811992383;0,0922474829177403;0,815467748992825;0;0,0922474829177403;8,84;0;1
"77";"Sesameseed Oil";"Vegetable oils";0,392388023721224;3,46871012969562;0;0,392388023721224;0,302045780607789;2,67008470057285;0;0,302045780607789;8,84;0;1
"78";"Olive Oil";"Vegetable oils";1,88657963557426;16,6773639784764;0;1,88657963557426;1,4522191918646;12,8376176560831;0;1,4522191918646;8,84;0;1
"79";"Ricebran Oil";"Vegetable oils";9,20133191651243e-05;0,000813397741419699;0;9,20133191651243e-05;7,08284482028151e-05;0,000626123482112885;0;7,08284482028151e-05;8,84;0;1
"80";"Maize Germ Oil";"Vegetable oils";0,379866154720557;3,35801680772972;0;0,379866154720557;0,292406909214349;2,58487707745484;0;0,292406909214349;8,84;0;1
"81";"Oilcrops Oil. Other";"Vegetable oils";3,94072722106062;34,8360286341759;0;3,94072722106062;3,03342599083316;26,8154857589651;0;3,03342599083316;8,84;0;1
"82";"Soyabean Cake";"excluded";0;0;0;0;0;0;0;0;2,61;0,46;0,05
"83";"Groundnut Cake";"excluded";0;0;0;0;0;0;0;0;3,63;0,417;0,076
"84";"Sunflowerseed Cake";"excluded";0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"85";"Rape and Mustard Cake";"excluded";0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"86";"Cottonseed Cake";"excluded";0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"87";"Palmkernel Cake";"excluded";0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
