"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"Cereals";"cont";9379522,7173575;9040743,77037317;8581910,99817503;6595624,58872218
"2";"Cereals";"waste";276969,720460796;338778,946984329;458832,772198135;1986286,40945285
"3";"Potatoes & roots";"cont";6227634,73594776;5981424,81135796;5663035,25583906;4247644,63947511
"4";"Potatoes & roots";"waste";376044,448820711;246209,924589795;318389,555518905;1415390,61636395
"5";"Vegetables";"cont";7646112,26579696;7430672,58433423;6810199,66096879;5384478,71798211
"6";"Vegetables";"waste";425226,999148457;215439,681462733;620472,923365436;1425720,94298668
"7";"Fruits";"cont";5416309,11501587;5078162,41080453;4601915,53939896;3770980,73190272
"8";"Fruits";"waste";410103,48093591;338146,70421134;476246,871405565;830934,807496239
"9";"Pulses, beans & nuts";"cont";832382,560763685;777549,253533236;765721,412712275;745052,116457895
"10";"Pulses, beans & nuts";"waste";41495,398168251;54833,3072304491;11827,8408209607;20669,29625438
"11";"Vegetable oils";"cont";2047501,46330977;1926290,1101046;1900836,21408971;1838355,99834678
"12";"Vegetable oils";"waste";77957,7067832525;121211,353205167;25453,896014895;62480,2157429269
"13";"Milk & products";"cont";3224084,21078737;3098150,31292951;2980360,81890183;2435436,39757741
"14";"Milk & products";"waste";106894,579304288;125933,897857854;117789,494027686;544924,421324416
"15";"Eggs";"cont";1869178,54521335;1791776,13840126;1728109,33493618;1433769,64909714
"16";"Eggs";"waste";72297,6501526056;77402,406812084;63666,8034650831;294339,685839044
"17";"Fish";"cont";0;0;0;0
"18";"Fish";"waste";0;0;0;0
"19";"Meat";"cont";184810269,113785;183833712,748694;182955288,897243;178930045,182527
"20";"Meat";"waste";856193,184754061;976556,365090747;878423,851451042;4025243,71471546
"21";"Sugar & Alcohol";"cont";22553652,9388421;21651204,8297998;20181499,9711409;16898663,6119077
"22";"Sugar & Alcohol";"waste";682027,157801283;902448,109042261;1469704,85865891;3282836,35923323
