"";"country";"pop";"Y";"Food"
"ALB";"ALB";2895092;3471242,9803602;1,19900955836989
"AUT";"AUT";8479823;9357281,71958537;1,1034760654303
"BLX";"BLX";NA;0;NA
"BGR";"BGR";7265115;5178506,76085461;0,712790748784377
"CYP";"CYP";1143866;738472,996202383;0,645593973596893
"CSK";"CSK";NA;0;NA
"DNK";"DNK";5614932;5773803,12195173;1,02829439821386
"BLR";"BLR";9465997;8776367,49849093;0,927146659616619
"EST";"EST";1317997;1314424,10044034;0,997289144391327
"FIN";"FIN";5438972;6020080,68653713;1,10684163965858
"FRA";"FRA";65998687;62239944,0623447;0,943048216434134
"DEU";"DEU";80645605;79217810,2024923;0,982295441921383
"BIH";"BIH";3542605;3537226,69568749;0,998481822186638
"GRC";"GRC";10965211;12048820,4242146;1,09882248724758
"HUN";"HUN";9893082;7137666,7683668;0,721480603149434
"HRV";"HRV";4255689;3759026,26039249;0,883294399659489
"ISL";"ISL";323764;309598,204768018;0,956246539973616
"IRL";"IRL";4623816;5360942,0517819;1,15941941716147
"ITA";"ITA";60233948;60518975,8976872;1,00473201420713
"LVA";"LVA";2012647;1751071,84694789;0,87003426181933
"LTU";"LTU";2957689;3204430,38810705;1,08342370956076
"MLT";"MLT";425967;419000,127830123;0,983644573007118
"MDA";"MDA";3558566;2335727,78610156;0,656367701512789
"NLD";"NLD";16804432;18092915,2308699;1,07667520276019
"MKD";"MKD";2076067;1748112,70109961;0,842030965811607
"NOR";"NOR";5079623;4898468,88836566;0,964337095167429
"CZE";"CZE";10514272;9363272,59614488;0,890529805215699
"POL";"POL";38040196;35143224,975082;0,923844476907584
"PRT";"PRT";10457295;10979498,0771267;1,04993672619226
"ROU";"ROU";19983693;21918582,5968879;1,09682342482383
"SCG";"SCG";NA;0;NA
"SVN";"SVN";2059953;1864956,12233954;0,90533916178648
"SVK";"SVK";5413393;4096021,15236106;0,756645813884389
"ESP";"ESP";46620045;41362571,5332869;0,88722719022015
"SWE";"SWE";9600379;9799812,48729344;1,02077350147254
"CHE";"CHE";8089346;8055661,23605722;0,995835910104132
"TUR";"TUR";75928564;72903804,0953496;0,960163082965056
"GBR";"GBR";64128226;61616213,9235695;0,960828293044774
"UKR";"UKR";45489600;39761314,6280861;0,874074835304908
"YUG";"YUG";NA;0;NA
"BEL";"BEL";11159407;12829946,2718194;1,14969785328373
"LUX";"LUX";543360;619212,937628564;1,13959978214915
"SRB";"SRB";7164132;7121241,09906356;0,994013105713792
"MNE";"MNE";621207;758041,617456955;1,22027217571108
