"","Product.Code","Product","Supply_DE","Com.group","Diet.Group"
"1","2511"," Wheat and products ","83.41","Cereals","Cereals"
"2","2805"," Rice (Milled Equivalent) ","3.34","Cereals","Cereals"
"3","2513"," Barley and products ","0.3","Cereals","Cereals"
"4","2514"," Maize and products ","12.13","Cereals","Cereals"
"5","2515"," Rye and products ","9.59","Cereals","Cereals"
"6","2516"," Oats ","1.54","Cereals","Cereals"
"7","2517"," Millet and products ","0.12","Cereals","Cereals"
"8","2520"," Cereals Other ","0.68","Cereals","Cereals"
"9","2531"," Potatoes and products ","61.46","Roots and tubers","Roots and tubers"
"10","2534"," Roots Other ","0","Roots and tubers","Roots and tubers"
"11","2542"," Sugar (Raw Equivalent) ","35.61",NA,"Sugar, sweeteners"
"12","2543"," Sweeteners Other ","11.84","Sugar, sweeteners","Sugar, sweeteners"
"13","2745"," Honey ","1.04","Honey","Honey"
"14","2546"," Beans ","0.1","Vegetables, fruit, nuts, pulses, spices","Vegetables"
"15","2547"," Peas ","0.46","Vegetables, fruit, nuts, pulses, spices","Vegetables"
"16","2549"," Pulses Other and products ","0.17","Vegetables, fruit, nuts, pulses, spices","Vegetables"
"17","2551"," Nuts and products ","6.69","Vegetables, fruit, nuts, pulses, spices","Vegetables"
"18","2555"," Soyabeans ","0.88","Oil crops","Oil crops"
"19","2556"," Groundnuts (Shelled Eq) ","1.27","Oil crops","Oil crops"
"20","2558"," Rape and Mustardseed ","0","Oil crops","Oil crops"
"21","2560"," Coconuts - Incl Copra ","0.56","Oil crops","Oil crops"
"22","2563"," Olives (including preserved) ","0.8","Oil crops","Oil crops"
"23","2570"," Oilcrops Other ","0.11","Oil crops","Oil crops"
"24","2571"," Soyabean Oil ","5.2","Vegetable oils","Vegetable oils"
"25","2572"," Groundnut Oil ","0.05","Vegetable oils","Vegetable oils"
"26","2573"," Sunflowerseed Oil ","3.19","Vegetable oils","Vegetable oils"
"27","2574"," Rape and Mustard Oil ","5.49","Vegetable oils","Vegetable oils"
"28","2576"," Palmkernel Oil ","0","Vegetable oils","Vegetable oils"
"29","2577"," Palm Oil ","2.87","Vegetable oils","Vegetable oils"
"30","2578"," Coconut Oil ","0.02","Vegetable oils","Vegetable oils"
"31","2579"," Sesameseed Oil ","0.14","Vegetable oils","Vegetable oils"
"32","2580"," Olive Oil ","0.74","Vegetable oils","Vegetable oils"
"33","2582"," Maize Germ Oil ","0.15","Vegetable oils","Vegetable oils"
"34","2586"," Oilcrops Oil; Other ","0.48","Vegetable oils","Vegetable oils"
"35","2601"," Tomatoes and products ","19.01","Vegetables, fruit, nuts, pulses, spices","Vegetables"
"36","2602"," Onions ","6.06","Vegetables, fruit, nuts, pulses, spices","Vegetables"
"37","2605"," Vegetables; Other ","67.84","Vegetables, fruit, nuts, pulses, spices","Vegetables"
"38","2611"," Oranges and Mandarines ","15.59","Vegetables, fruit, nuts, pulses, spices","Fruits"
"39","2612"," Lemons Limes and products ","1.51","Vegetables, fruit, nuts, pulses, spices","Fruits"
"40","2613"," Grapefruit and products ","1.25","Vegetables, fruit, nuts, pulses, spices","Fruits"
"41","2614"," Citrus Other ","2.27","Vegetables, fruit, nuts, pulses, spices","Fruits"
"42","2615"," Bananas ","11.85","Vegetables, fruit, nuts, pulses, spices","Fruits"
"43","2616"," Plantains ","0.02","Vegetables, fruit, nuts, pulses, spices","Fruits"
"44","2617"," Apples and products ","18.65","Vegetables, fruit, nuts, pulses, spices","Fruits"
"45","2618"," Pineapples and products ","3.31","Vegetables, fruit, nuts, pulses, spices","Fruits"
"46","2619"," Dates ","0.1","Vegetables, fruit, nuts, pulses, spices","Fruits"
"47","2620"," Grapes and products (excl wine) ","8.73","Vegetables, fruit, nuts, pulses, spices","Fruits"
"48","2625"," Fruits Other ","25.19","Vegetables, fruit, nuts, pulses, spices","Fruits"
